season,best_catch,emerging_p,h_sr,h_sr_p,most_sixes,most_sixes_p,orange_cap,orange_cap_p,pot,purple_cap,purple_cap_p,fair_play_award,winner
2008,NA,Shreevats Goswami (RCB),0,NA,31,Sanath Jayasuriya (MI),616,Shaun Marsh (KXIP),Shane Watson (RR),22,Sohail Tanvir (RR),Chennai Super Kings,Rajasthan Royals
2009,NA,	Rohit Sharma (DEC),0,NA,29,Adam Gilchrist (DEC),572,Matthew Hayden (CSK),Adam Gilchrist (DEC),23,RP Singh (DC),Kings XI Punjab,Deccan Chargers
2010,NA,Saurabh Tiwary (MI),0,NA,27,	Robin Uthappa (RCB),618,Sachin Tendulkar (MI),	Sachin Tendulkar (MI),21,Pragyan Ojha (DC),Chennai Super Kings,Chennai Super Kings
2011,NA,Iqbal Abdulla (KKR),0,NA,44,	Chris Gayle (RCB),608,Chris Gayle (RCB),	Chris Gayle (RCB),28,Lasith Malinga (MI),Chennai Super Kings,Chennai Super Kings
2012,NA,Mandeep Singh (KXIP),0,NA,59,	Chris Gayle (RCB),733,Chris Gayle (RCB),	Sunil Narine (KKR),25,Morne Morkel (DD),Rajasthan Royals,Kolkata Knight Riders
2013,Gurkeerat Mann (KXIP),Sanju Samson (RR)	,0,NA,51,	Chris Gayle (RCB),733,Michael Hussey (CSK),	Shane Watson (RR),32,Dwayne Bravo (CSK),Chennai Super Kings,Mumbai Indians
2014,Kieron Pollard (MI),	Axar Patel (KXIP),0,NA,36,Glenn Maxwell (KXIP),660,Robin Uthappa (KKR),	Glenn Maxwell (KXIP),23,Mohit Sharma (CSK),Chennai Super Kings,Kolkata Knight Riders
2015,	Dwyane Bravo (CSK),Shreyas Iyer (DC),0,NA,38,	Chris Gayle (RCB),562,David Warner (SRH),Andre Russell (KKR),26,Dwayne Bravo (CSK),Chennai Super Kings,Mumbai Indians
2016,Suresh Raina (GL),Mustafizur Rahman (SRH),0,NA,38,	Virat Kohli (RCB),973,Virat Kohli (RCB),Virat Kohli (RCB),23,Bhuvneshwar Kumar (SRH),Sunrisers Hyderabad,Sunrisers Hyderabad
2017,Suresh Raina (GL),Basil Thampi (GL),0,NA,26,Glenn Maxwell (KXIP),641,David Warner (SRH),Ben Stokes (RPS),26,Bhuvneshwar Kumar (SRH),Gujarat Lions,Mumbai Indians
2018,Trent Boult (DC),Rishabh Pant (DC),190,Sunil Narine (KKR),37,	Rishabh Pant (DC),735,Kane Williamson (SRH),	Sunil Narine (KKR),24,Andrew Tye (KXIP),Mumbai Indians,Chennai Super Kings
2019,	Kieron Pollard (MI),	Shubman Gill (KKR),205,	Andre Russell (KKR),52,Andre Russell (KKR),692,David Warner (SRH),Andre Russell (KKR),26,Imran Tahir (CSK),Sunrisers Hyderabad,Mumbai Indians
2020,NA,Devdutt Padikkal (RCB),191,	Kieron Pollard (MI),30,Ishan Kishan (MI),670,KL Rahul (KXIP),Jofra Archer (RR),30,Kagiso Rabada (DC),Mumbai Indians,Mumbai Indians
2021,	Ravi Bishnoi (PBKS),Ruturaj Gaikwad (CSK),168,Shimron Hetmyer (DC),30,	KL Rahul (PBKS),635,Ruturaj Gaikwad (CSK),	Harshal Patel (RCB),32,Harshal Patel (RCB),Rajasthan Royals,Chennai Super Kings
2022,Evin Lewis (LSG),Umran Malik (SRH),183,Dinesh Karthik (RCB),45,	Jos Buttler (RR),863,Jos Buttler (RR),Jos Buttler (RR),27,Yuzvendra Chahal (RR),Gujarat Titans,Gujarat Titians
2023,Rashid Khan (GT),	Yashasvi Jaiswal (RR),183,Glenn Maxwell (RCB),36,Faf du Plessis (RCB),890,Shubman Gill (GT),	Shubman Gill (GT),28,	Mohammed Shami (GT),Delhi Capitals,Chennai Super Kings
